comment,play,title,aid,length
5798,1480921,华农兄弟：外出几天回来，有不少竹鼠怀孕了，西西和瓜瓜也胖了,37108753,03:22
9730,8766132,华农兄弟：这只香猪老喜欢打架，这样下去不行的，只好把它烤了,36452447,04:36
6848,3886632,华农兄弟：今年双十一，我们家竹鼠们收到了一份神秘大礼，小白高兴极了,35807770,05:10
10147,5745937,华农兄弟：兄弟家这只猪发烧，估计没救了，我们只好帮他烤了,63881468,09:59
8436,3162814,华农兄弟：兄弟带我们抓了一点蝗虫，油炸一下，真的很好吃,63725667,03:49
8822,5228823,华农兄弟：兄弟家这只鸡瘸了，这样下去不行的，帮他拿去河边烤了,63599284,06:28
4718,2777785,华农兄弟：兄弟邀请我们去他家玩，他家小黑狗见到我们很激动,63434916,03:18
5816,3175999,华农兄弟：看一下奶奶种的南瓜，顺便摘几个兄弟家的梨来吃,63221412,03:41
7481,2643451,华农兄弟：村里的蕉芋花开了，摘点来尝一下，顺便摘点送给老婆,62695288,03:19
888,491239,华农兄弟：背回来一捆几十斤的竹子，还不够这群竹鼠一天吃,30861355,04:00
1550,1187417,华农兄弟：摘一点枇杷果来吃，一树都是，半个小时就摘了20多斤,30860795,03:06
743,599432,华农兄弟：天气热，竹鼠不怎么喜欢吃竹子，砍点芒杆来喂它们,30851861,04:13
1470,3039983,华农兄弟：螃蟹这样整整齐齐烤出来，色香味俱全，吃起来嘎嘣脆,30847095,03:38
1394,2096613,华农兄弟：喂竹鼠，发现跑了1只，找半天，原来躲在这里,30831761,02:51
698,972004,华农兄弟：本来打算放地笼装螃蟹，结果发现还是钓螃蟹比较快,30829189,03:00
1040,1864419,华农兄弟：用石头烤肉，烤出来外焦里嫩有嚼劲，很好吃哦,30773930,02:40
750,622145,华农兄弟：摘一点野生金银花来泡茶，第一次没摘到多少，第二次摘到手软,30772359,03:31
1590,870754,华农兄弟：摘点野果串起来吃，不仅看起来很漂亮，吃起来也更有味道,30768578,02:36
7710,2507779,华农兄弟：狗狗成长记，小时候肥嘟嘟的，捏起来软绵绵的,31720939,04:14
6631,1507260,华农兄弟：去山上摘棯子，又香又甜，忍不住边摘边吃,31663669,03:26
5480,2314711,华农兄弟：给竹鼠池消一下毒，顺便把小白提出来，让它活动一下,31608912,04:43
3594,1809568,华农兄弟：给小香猪洗澡，一不留神就跑了，费了好大劲才抓到,31553470,03:20
3432,1210855,华农兄弟：时隔七八天，小狗狗长胖了，肥嘟嘟的，很可爱,31435619,02:58
3191,1932213,华农兄弟：给竹鼠搞卫生，又发现1条蜈蚣，直接抓去跟上1条团聚,31352992,03:48
4834,3110272,华农兄弟：怎么办？最近找不到理由吃竹鼠了，苦恼！,31275518,00:17
1521,2106543,华农兄弟：兄弟3人带着2只小狗狗去河边野炊，这煮羊肉，烤羊肉，看起很美味哦,30559310,04:25
1409,1378344,华农兄弟：100多亩西兰花为什么全部荒在田里面？看了这个视频你就知道了,30558547,01:51
1345,859333,华农兄弟：装上抽风机后，竹鼠吃得更多了，长得也更肥了,30472260,03:30
1648,1385382,华农兄弟：带狗子去小村庄玩，看它们跑到田里，玩得都不想走了,30430636,02:01
1667,2049705,华农兄弟：挖了一点五指毛桃，拿去河边煲鸡汤，很香很好吃哦,30429061,03:01
2726,2607003,华农兄弟：这只白白胖胖的竹鼠睡的像猪一样，小伙用力摇它都不想起来,30402495,02:50
686,987507,华农兄弟：这种山货看起来很普通，但却要几百块钱一斤,30395577,02:00
1056,1250457,华农兄弟：打开洒水管，室温降低后，竹鼠睡的像猪一样，还以为它中暑了,30335122,03:00
2257,1784288,华农兄弟：给狗子做窝，发现1只老鼠，翻箱倒柜后，终于被狗子抓住了,30334396,02:49
5211,2146572,华农兄弟：小狗长大了不少，在场里到处乱跑，抓它们来调教一下,53447949,05:09
7205,2750007,华农兄弟：晚上去田里夹黄鳝，收获还可以，还夹到一条蛇,52747883,05:05
6460,2954998,华农兄弟：突然想吃粽子，摘点粽叶，抓只竹鼠，包竹鼠味的粽子,52562725,11:26
4135,1971075,华农兄弟：看一下母鸡孵出来的小鸡，顺便捡到几个鸡蛋,51993240,05:13
4953,1775539,华农兄弟：很久没看竹鼠小粉，发现它慢慢变黑了,51796387,03:17
9187,3163434,华农兄弟：挖点兄弟家的竹笋，晒干后，叫上兄弟去小河边炖竹鼠,51339808,13:13
5062,1930215,华农兄弟：看一下小胖猪跟小肥狗，一下没注意，又胖了不少,51317649,07:20
8750,3460773,华农兄弟：池子里的鱼太多了，钓一些来煮汤，味道很不错,50975882,10:13
8632,4471820,华农兄弟：为什么我们不在网上卖竹鼠？跟大家说明一下原因,43062676,02:30
6904,2792554,华农兄弟：去兄弟家看一下有什么好吃的，顺便看一下忧郁的小黑狗,42813841,03:47
8948,3330363,华农兄弟：快过年了，听说兄弟家的香猪养得很漂亮了，抓一只来吃,42546083,05:09
3304,1274412,华农兄弟：去兄弟家抓竹鼠，有一只超凶，费了好大的功夫才抓出来,42516994,03:54
1321,475482,华农兄弟：努力就会有回报，2019年我们会继续向前,42577270,02:59
7497,3457243,华农兄弟：去兄弟家的池塘网点鱼来吃，来回的路上有不少山货,42446983,12:53
991,577575,华农兄弟：过年了，竹鼠也有过年必做的10件事情,42271628,00:40
2791,656102,华农兄弟：快过年了，给我们家竹鼠发些竹子红包，看谁这么幸运？,42230085,03:27
5048,3003734,华农兄弟：挖到2个大竹笋，庆祝一下，抓只兄弟家的鸭来炖,82943439,16:09
7588,2757193,华农兄弟：场里的鱼长肥了，钓条来吃，顺便给老弟做点米酒,82729725,15:13
4305,2481612,华农兄弟：带大家看一下花鼠，顺便看一下它的崽，很漂亮哦,82079874,06:33
8093,3913078,华农兄弟：昨晚有只竹鼠“托梦”给我，想吃竹笋，去挖个来炖它,81033483,10:36
3584,2339881,华农兄弟：上山砍点竹子，顺便挖几个竹笋回去炒腊肉，很好吃哦,80509568,20:27
3086,2245317,华农兄弟：天冷，看一下竹鼠有没有感冒，顺便丢点稻草给猪做窝,80097816,10:39
3010,2287210,华农兄弟：喂点网友送的猪饲料给小猪吃，顺便捉只猪崽玩一下,79983573,03:22
5014,2722278,华农兄弟：摘点大叔家的香菇，捉2只兄弟家的小鸡，做小鸡炖蘑菇,79546672,08:13
4824,1601938,华农兄弟：再去兄弟家抓点竹鼠，顺便抓了2只小白回来,35776406,03:46
4860,1441209,华农兄弟：上山捡野生小板栗，掉的一地都是，多到捡不过来,35691178,04:00
7331,3297981,华农兄弟：把抓回来的葛根虫，串起来烤，烤得口水都流出来了,35437765,06:33
